L 601.0000, -336.0000, 0.0000,  574.0000, -336.0000, 0.0000,  0, 0, 0
L 601.0000, -337.0000, 0.0000,  601.0000, -336.0000, 0.0000,  0, 0, 0
L 601.0000, -338.0000, 0.0000,  601.0000, -337.0000, 0.0000,  0, 0, 0
L 604.0000, -338.0000, 0.0000,  601.0000, -338.0000, 0.0000,  0, 0, 0
L 599.0000, -294.0000, 0.0000,  599.0000, -293.0000, 0.0000,  0, 0, 0
L 599.0000, -333.0000, 0.0000,  599.0000, -294.0000, 0.0000,  0, 0, 0
L 576.0000, -333.0000, 0.0000,  599.0000, -333.0000, 0.0000,  0, 0, 0
L 576.0000, -282.0000, 0.0000,  576.0000, -333.0000, 0.0000,  0, 0, 0
L 599.0000, -282.0000, 0.0000,  576.0000, -282.0000, 0.0000,  0, 0, 0
L 611.0000, -282.0000, 0.0000,  602.0000, -282.0000, 0.0000,  0, 0, 0
L 611.0000, -283.0000, 0.0000,  611.0000, -282.0000, 0.0000,  0, 0, 0
L 611.0000, -284.0000, 0.0000,  611.0000, -283.0000, 0.0000,  0, 0, 0
L 627.0000, -282.0000, 0.0000,  618.0000, -282.0000, 0.0000,  0, 0, 0
L 627.0000, -309.0000, 0.0000,  627.0000, -282.0000, 0.0000,  0, 0, 0
L 627.0000, -310.0000, 0.0000,  627.0000, -309.0000, 0.0000,  0, 0, 0
L 645.0000, -310.0000, 0.0000,  627.0000, -310.0000, 0.0000,  0, 0, 0
L 646.0000, -310.0000, 0.0000,  645.0000, -310.0000, 0.0000,  0, 0, 0
L 659.0000, -296.0000, 1.0000,  646.0000, -310.0000, 0.0000,  0, 0, 0
L 669.0000, -296.0000, 1.0000,  659.0000, -296.0000, 1.0000,  0, 0, 0
L 683.0000, -310.0000, 0.0000,  669.0000, -296.0000, 1.0000,  0, 0, 0
L 683.0000, -319.0000, 0.0000,  683.0000, -310.0000, 0.0000,  0, 0, 0
L 669.0000, -333.0000, 1.0000,  683.0000, -319.0000, 0.0000,  0, 0, 0
L 659.0000, -333.0000, 1.0000,  669.0000, -333.0000, 1.0000,  0, 0, 0
L 646.0000, -319.0000, 0.0000,  659.0000, -333.0000, 1.0000,  0, 0, 0
L 645.0000, -319.0000, 0.0000,  646.0000, -319.0000, 0.0000,  0, 0, 0
L 627.0000, -319.0000, 0.0000,  645.0000, -319.0000, 0.0000,  0, 0, 0
L 627.0000, -333.0000, 0.0000,  627.0000, -319.0000, 0.0000,  0, 0, 0
L 613.0000, -333.0000, 0.0000,  627.0000, -333.0000, 0.0000,  0, 0, 0
L 613.0000, -334.0000, 0.0000,  613.0000, -333.0000, 0.0000,  0, 0, 0
L 613.0000, -337.0000, 0.0000,  613.0000, -335.0000, 0.0000,  0, 0, 0
L 613.0000, -338.0000, 0.0000,  613.0000, -337.0000, 0.0000,  0, 0, 0
L 629.0000, -336.0000, 0.0000,  616.0000, -336.0000, 0.0000,  0, 0, 0
L 630.0000, -335.0000, 0.0000,  629.0000, -336.0000, 0.0000,  0, 0, 0
L 630.0000, -322.0000, 0.0000,  630.0000, -335.0000, 0.0000,  0, 0, 0
L 643.0000, -322.0000, 0.0000,  630.0000, -322.0000, 0.0000,  0, 0, 0
L 671.0000, -336.0000, 0.0000,  657.0000, -336.0000, 0.0000,  0, 0, 0
L 672.0000, -336.0000, 0.0000,  671.0000, -336.0000, 0.0000,  0, 0, 0
L 685.0000, -322.0000, 0.0000,  672.0000, -336.0000, 0.0000,  0, 0, 0
L 686.0000, -321.0000, 0.0000,  685.0000, -322.0000, 0.0000,  0, 0, 0
L 686.0000, -308.0000, 0.0000,  686.0000, -321.0000, 0.0000,  0, 0, 0
L 685.0000, -307.0000, 0.0000,  686.0000, -308.0000, 0.0000,  0, 0, 0
L 672.0000, -293.0000, 0.0000,  685.0000, -307.0000, 0.0000,  0, 0, 0
L 671.0000, -293.0000, 0.0000,  672.0000, -293.0000, 0.0000,  0, 0, 0
L 657.0000, -293.0000, 0.0000,  671.0000, -293.0000, 0.0000,  0, 0, 0
L 643.0000, -307.0000, 0.0000,  657.0000, -293.0000, 0.0000,  0, 0, 0
L 630.0000, -307.0000, 0.0000,  643.0000, -307.0000, 0.0000,  0, 0, 0
L 630.0000, -280.0000, 0.0000,  630.0000, -307.0000, 0.0000,  0, 0, 0
L 685.0000, -280.0000, 0.0000,  630.0000, -280.0000, 0.0000,  0, 0, 0
L 699.0000, -294.0000, 0.0000,  685.0000, -280.0000, 0.0000,  0, 0, 0
L 699.0000, -335.0000, 0.0000,  699.0000, -294.0000, 0.0000,  0, 0, 0
L 685.0000, -349.0000, 0.0000,  699.0000, -335.0000, 0.0000,  0, 0, 0
L 630.0000, -349.0000, 0.0000,  685.0000, -349.0000, 0.0000,  0, 0, 0
L 629.0000, -349.0000, 0.0000,  630.0000, -349.0000, 0.0000,  0, 0, 0
L 615.0000, -363.0000, 0.0000,  629.0000, -349.0000, 0.0000,  0, 0, 0
L 615.0000, -377.0000, 0.0000,  615.0000, -363.0000, 0.0000,  0, 0, 0
L 602.0000, -390.0000, 0.0000,  615.0000, -377.0000, 0.0000,  0, 0, 0
L 602.0000, -364.0000, 0.0000,  602.0000, -390.0000, 0.0000,  0, 0, 0
L 576.0000, -366.0000, 0.0000,  576.0000, -380.0000, 0.0000,  0, 0, 0
L 599.0000, -366.0000, 0.0000,  576.0000, -366.0000, 0.0000,  0, 0, 0
L 599.0000, -389.0000, 0.0000,  599.0000, -366.0000, 0.0000,  0, 0, 0
L 559.0000, -391.0000, 0.0000,  571.0000, -391.0000, 0.0000,  0, 0, 0
L 524.0000, -357.0000, 1.0000,  524.0000, -356.0000, 1.0000,  0, 0, 255
L 524.0000, -370.0000, 1.0000,  524.0000, -357.0000, 1.0000,  0, 0, 255
L 504.0000, -390.0000, 0.0000,  524.0000, -370.0000, 1.0000,  0, 0, 0
L 504.0000, -362.0000, 0.0000,  504.0000, -390.0000, 0.0000,  0, 0, 0
L 501.0000, -389.0000, 0.0000,  501.0000, -363.0000, 0.0000,  0, 0, 0
L 478.0000, -389.0000, 0.0000,  501.0000, -389.0000, 0.0000,  0, 0, 0
L 478.0000, -366.0000, 0.0000,  478.0000, -389.0000, 0.0000,  0, 0, 0
L 492.0000, -366.0000, 0.0000,  478.0000, -366.0000, 0.0000,  0, 0, 0
L 475.0000, -363.0000, 0.0000,  489.0000, -363.0000, 0.0000,  0, 0, 0
L 475.0000, -364.0000, 0.0000,  475.0000, -363.0000, 0.0000,  0, 0, 0
L 475.0000, -376.0000, 0.0000,  475.0000, -364.0000, 0.0000,  0, 0, 0
L 448.0000, -350.0000, 0.0000,  475.0000, -376.0000, 0.0000,  0, 0, 0
L 441.0000, -310.0000, 0.0000,  441.0000, -313.0000, 0.0000,  0, 0, 0
L 418.0000, -315.0000, 0.0000,  418.0000, -310.0000, 0.0000,  0, 0, 0
L 419.0000, -317.0000, 0.0000,  418.0000, -315.0000, 0.0000,  0, 0, 0
L 420.0000, -318.0000, 0.0000,  419.0000, -317.0000, 0.0000,  0, 0, 0
L 420.0000, -339.0000, 0.0000,  420.0000, -318.0000, 0.0000,  0, 0, 0
L 419.0000, -340.0000, 0.0000,  420.0000, -339.0000, 0.0000,  0, 0, 0
L 418.0000, -342.0000, 0.0000,  419.0000, -340.0000, 0.0000,  0, 0, 0
L 418.0000, -347.0000, 0.0000,  418.0000, -342.0000, 0.0000,  0, 0, 0
L 442.0000, -347.0000, 0.0000,  441.0000, -347.0000, 0.0000,  0, 0, 0
L 459.0000, -347.0000, 0.0000,  459.0000, -307.0000, 0.0000,  0, 0, 0
L 442.0000, -347.0000, 0.0000,  444.0000, -347.0000, 0.0000,  0, 0, 0
L 405.0000, -307.0000, 0.0000,  447.0000, -307.0000, 0.0000,  0, 0, 0
